,Unnamed: 0,brand,guaranteed_authentic_brand,model_variant,core_model,price,negotiable_price,bezel_material,bezel_plated,case_material,case_plated,dial
402,589,tudor,False,Standard,Black Bay Chrono,10500.0,True,steel,False,steel,False,pink
403,590,tudor,False,Standard,Black Bay Chrono,9999.0,False,carbon,False,carbon,False,white
405,594,tudor,False,Standard,Pelagos Ultra,6500.0,True,titanium,False,titanium,False,black
408,600,tudor,False,Standard,Pelagos,5795.0,False,titanium,False,titanium,False,black
409,601,tudor,False,Standard,Royal,4295.0,False,yellow gold,False,gold/steel,False,black
410,602,tudor,False,Standard,Black Bay GMT,4540.0,False,steel,False,steel,False,silver
411,603,tudor,False,Standard,Black Bay Chrono,5100.0,False,steel,False,steel,False,black
412,605,tudor,False,Standard,Black Bay Chrono,4200.0,True,aluminum,False,steel,False,black
413,606,tudor,False,Standard,Unknown/Other,4175.0,True,steel,False,steel,False,black
414,607,tudor,False,Standard,Ranger,2900.0,True,steel,False,steel,False,black
415,608,tudor,False,Standard,Unknown/Other,5450.0,True,steel,False,steel,False,black
416,609,tudor,False,Standard,Black Bay GMT,4275.0,True,steel,False,steel,False,black
417,612,tudor,False,Standard,Black Bay 41,4672.0,False,steel,False,steel,False,black
418,613,tudor,False,Standard,Black Bay 41,3700.0,True,steel,False,steel,False,black
419,624,tudor,False,Standard,Black Bay 36,2950.0,False,silver,False,steel,False,blue
420,625,tudor,False,Standard,Black Bay Chrono,7800.0,False,yellow gold,False,gold/steel,False,black
422,627,tudor,False,Standard,Black Bay Chrono,4940.0,False,steel,False,steel,False,silver
423,628,tudor,False,Standard,Pelagos,3575.0,True,titanium,False,carbon,False,blue
426,632,tudor,False,Standard,Black Bay Chrono,4495.0,False,steel,False,steel,False,white
427,633,tudor,False,Standard,Black Bay Steel,4895.0,False,steel,False,steel,False,black
428,634,tudor,False,Standard,Ranger,2995.0,False,steel,False,steel,False,black
430,637,tudor,False,Standard,Black Bay Chrono,5195.0,False,steel,False,steel,False,black
432,639,tudor,False,Standard,Royal,4895.0,False,yellow gold,False,gold/steel,False,champagne
433,640,tudor,False,Standard,Black Bay Chrono,11000.0,True,carbon,False,carbon,False,white
437,644,tudor,False,Standard,1926,2695.0,True,steel,False,steel,False,black
438,645,tudor,False,Standard,Black Bay Chrono,10995.0,True,steel,False,steel,False,turquoise
441,649,tudor,False,Standard,Black Bay Fifty-Eight,3900.0,False,steel,False,steel,False,black
444,652,tudor,False,Standard,Black Bay Chrono,4299.0,True,steel,False,steel,False,black
445,654,tudor,True,Standard,Unknown/Other,4153.0,False,steel,False,steel,False,black
447,656,tudor,False,Standard,Unknown/Other,4750.0,True,steel,False,steel,False,blue
450,660,tudor,False,Standard,Black Bay GMT,5075.0,False,aluminum,False,steel,False,black
452,662,tudor,False,Standard,Unknown/Other,3988.0,True,steel,False,steel,False,black
453,663,tudor,False,Standard,Unknown/Other,3599.0,False,ceramic,False,ceramic,False,black
456,667,tudor,False,Standard,Ranger,4850.0,True,steel,False,steel,False,white
457,668,tudor,False,Standard,Black Bay Fifty-Eight,4295.0,False,silver,False,silver,False,grey
458,669,tudor,True,Standard,Black Bay Steel,4153.0,False,steel,False,steel,False,blue
461,673,tudor,False,Standard,1926,2750.0,True,rose gold,False,gold/steel,False,black
462,674,tudor,False,Standard,Pelagos,4250.0,False,titanium,False,carbon,False,blue
463,675,tudor,False,Standard,Black Bay S&G,4295.0,False,yellow gold,False,gold/steel,False,black
468,681,tudor,False,Standard,Submariner,7995.0,True,steel,False,steel,False,black
471,688,tudor,False,Standard,Pelagos,4195.0,False,titanium,False,carbon,False,blue
472,693,tudor,False,Standard,Black Bay Chrono,9440.0,True,steel,False,steel,False,pink
475,699,tudor,False,Standard,Black Bay GMT,4350.0,False,steel,False,steel,False,white
476,700,tudor,False,Standard,Pelagos,4390.0,False,carbon,False,carbon,False,black
478,703,tudor,False,Standard,Royal,3150.0,False,steel,False,steel,False,black
480,705,tudor,False,Standard,Unknown/Other,4780.0,True,steel,False,steel,False,silver
482,708,tudor,False,Standard,Oysterdate Big Block,6482.0,False,steel,False,steel,False,silver
486,712,tudor,False,Standard,Black Bay Fifty-Eight,3699.0,True,steel,False,steel,False,blue
487,714,tudor,False,Standard,Unknown/Other,3895.0,True,steel,False,steel,False,black
489,716,tudor,False,Standard,Royal,2695.0,True,steel,False,steel,False,black
490,717,tudor,False,Standard,Black Bay 54,4475.0,False,aluminum,False,steel,False,black
491,718,tudor,False,Standard,Pelagos,6125.0,False,titanium,False,titanium,False,black
494,724,tudor,False,Standard,Prince Oysterdate,1895.0,False,steel,False,steel,False,silver
497,728,tudor,False,Standard,Black Bay Fifty-Eight,3750.0,True,silver,False,silver,False,grey
499,730,tudor,True,Standard,Prince Date Day,5193.0,False,steel,False,steel,False,silver
500,732,tudor,False,Standard,Pelagos Ultra,6285.0,True,titanium,False,titanium,False,black
501,733,tudor,False,Standard,Black Bay Steel,4625.0,False,steel,False,steel,False,black
504,738,tudor,False,Standard,Black Bay 54,5900.0,True,steel,False,steel,False,blue
507,741,tudor,False,Standard,Unknown/Other,11799.0,False,yellow gold,False,yellow gold,False,green
511,746,tudor,False,Standard,Pelagos,3390.0,True,titanium,False,carbon,False,blue
512,747,tudor,False,Standard,Unknown/Other,3797.0,False,bronze,False,bronze,False,brown
514,749,tudor,False,Standard,Pelagos,5995.0,False,titanium,False,titanium,False,black
515,750,tudor,False,Standard,Black Bay Chrono,4795.0,True,steel,False,steel,False,black
519,755,tudor,False,Standard,Black Bay S&G,4199.0,True,yellow gold,False,steel,False,champagne
522,761,tudor,False,Standard,Black Bay Chrono,10750.0,True,carbon,False,carbon,False,white
524,763,tudor,False,Standard,Black Bay Chrono,10495.0,True,steel,False,steel,False,turquoise
525,767,tudor,False,Standard,Black Bay Fifty-Eight,3665.0,True,aluminum,False,steel,False,black
528,2,rolex,False,No Date,Submariner,13750.0,False,steel,False,steel,False,black
530,4,rolex,False,Standard,Datejust 36,4595.0,False,yellow gold,False,gold/steel,False,silver
