,negotiable_price,price,guaranteed_authentic_brand,brand,case_plated,case_material,bezel_plated,bezel_material,bracelet_plated,bracelet_material,clasp_plated,clasp_material,dial,core_model,model_variant,year_of_production,is_year_of_production_estimate,age_in_years_2026,original_box,original_papers,movement,clasp,number_of_jewels
114,False,2900,False,tudor,False,steel,False,steel,False,,False,steel,black,Unknown/Other,Standard,2013,False,13,1.0,1.0,automatic,fold clasp,25
115,True,2950,False,tudor,False,,False,,False,leather,False,,,Unknown/Other,Standard,2014,False,12,1.0,1.0,automatic,,
116,True,1574,False,tudor,False,gold/steel,False,yellow gold,False,steel,False,steel,gold,Prince Oysterdate,Standard,1984,False,42,0.0,1.0,automatic,,
117,True,3030,False,tudor,False,steel,False,,False,leather,False,,black,Unknown/Other,Standard,2014,False,12,1.0,1.0,automatic,,
118,False,2150,False,tudor,False,steel,False,,False,leather,False,steel,silver,Prince Oysterdate,Standard,,False,,0.0,1.0,automatic,buckle,
119,False,2010,False,tudor,False,steel,False,,False,steel,False,,,1926,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,
120,True,5900,False,tudor,False,steel,False,aluminum,False,steel,False,,blue,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,,
121,True,2900,False,tudor,False,steel,False,,False,steel,False,,black,Submariner,Standard,1978,True,48,0.0,1.0,automatic,,
122,True,2500,False,tudor,False,,False,,False,gold/steel,False,,,Royal,Standard,2024,False,2,1.0,1.0,automatic,,
123,True,2500,False,tudor,False,steel,False,,False,steel,False,,black,Prince Oysterdate,Standard,1988,True,38,0.0,1.0,automatic,,
124,True,4200,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay GMT,Standard,2022,True,4,1.0,1.0,automatic,,
125,True,2990,False,tudor,False,steel,False,,False,rubber,False,,black,Unknown/Other,Standard,2022,True,4,1.0,1.0,automatic,,
126,True,4999,False,tudor,False,bronze,False,bronze,False,steel,False,bronze,brown,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,27
127,True,3795,False,tudor,False,titanium,False,ceramic,False,titanium,False,titanium,black,Pelagos,Standard,,False,,1.0,1.0,automatic,fold clasp,26
128,True,2550,False,tudor,False,steel,False,,False,steel,False,,blue,Royal,Standard,2021,False,5,1.0,1.0,manual winding,,
129,True,4200,False,tudor,False,steel,False,,False,steel,False,,white,Submariner,Standard,1999,False,27,1.0,1.0,automatic,,
130,True,9499,False,tudor,False,steel,False,steel,False,steel,False,steel,pink,Black Bay Chrono,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,41
131,True,1599,False,tudor,False,steel,False,,False,steel,False,,silver,1926,Standard,2018,False,8,0.0,1.0,automatic,,
132,False,5585,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Chrono,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,41
133,True,5975,False,tudor,False,steel,False,,False,leather,False,,red,Unknown/Other,Standard,1997,True,29,1.0,1.0,automatic,,
134,True,1095,False,tudor,False,steel,False,steel,False,leather,False,steel,black,Oyster Prince,Standard,1958,False,68,0.0,1.0,automatic,buckle,
135,True,2724,False,tudor,False,steel,False,steel,False,steel,False,,blue,,,2001,False,25,1.0,1.0,automatic,,
136,True,2999,False,tudor,False,steel,False,,False,steel,False,,blue,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,,
137,True,1390,False,tudor,False,gold/steel,False,,False,steel,False,,silver,,,1985,True,41,0.0,1.0,quartz,,
138,True,4895,False,tudor,False,steel,False,,False,steel,False,,green,Unknown/Other,Standard,2023,False,3,1.0,1.0,,,25
139,False,2720,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,Black Bay Fifty-Eight,Standard,,False,,0.0,1.0,automatic,fold clasp,27
140,False,4599,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Pro,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,26
141,False,8313,True,tudor,False,steel,False,steel,False,steel,False,,silver,,,,False,,0.0,1.0,automatic,,
142,True,3795,False,tudor,False,steel,False,ceramic,False,,False,steel,green,Fastrider Chrono,Standard,2018,False,8,1.0,1.0,automatic,fold clasp,
143,False,3990,False,tudor,False,steel,False,steel,False,steel,False,steel,silver,Glamour Date,Standard,2022,False,4,1.0,1.0,automatic,fold clasp,
144,True,2950,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2019,False,7,1.0,1.0,automatic,fold clasp,25
145,False,10499,False,tudor,False,,False,,False,steel,False,,,Black Bay Chrono,Standard,2025,False,1,1.0,1.0,,,
146,False,5799,False,tudor,False,titanium,False,titanium,False,titanium,False,titanium,black,Pelagos Ultra,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,26
147,True,2900,False,tudor,False,steel,False,,False,rubber,False,,black,Black Bay Pro,Standard,2024,False,2,1.0,1.0,automatic,,
148,True,3495,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2014,False,12,0.0,1.0,automatic,double-fold clasp,26
149,False,14000,False,tudor,False,steel,False,steel,False,steel,False,steel,white,1926,Standard,,False,,0.0,1.0,automatic,fold clasp,
150,True,1795,False,tudor,False,steel,False,,False,steel,False,,silver,Prince Oysterdate,Standard,1979,True,47,0.0,1.0,automatic,,
151,True,3665,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay Fifty-Eight,Standard,2022,False,4,1.0,1.0,automatic,,
152,True,2957,False,tudor,False,steel,False,,False,steel,False,,white,Prince Oysterdate,Standard,,False,,0.0,1.0,automatic,,
153,True,2188,False,tudor,False,steel,False,steel,False,steel,False,steel,white,1926,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,
154,True,3805,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay Fifty-Eight,Standard,2021,False,5,1.0,1.0,automatic,,
155,False,4699,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay 41,Standard,2026,False,0,1.0,1.0,automatic,fold clasp,25
156,False,3800,False,tudor,False,titanium,False,titanium,False,titanium,False,titanium,blue,Pelagos,Standard,2023,False,3,1.0,1.0,automatic,fold clasp,26
157,True,4290,False,tudor,False,gold/steel,False,aluminum,False,leather,False,steel,black,Black Bay Chrono,Standard,2019,False,7,1.0,1.0,automatic,fold clasp,47
158,False,4400,False,tudor,False,steel,False,steel,False,steel,False,steel,silver,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,25
159,False,3650,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay Fifty-Eight,Standard,2022,False,4,1.0,1.0,automatic,fold clasp,25
160,False,2900,False,tudor,False,steel,False,steel,False,steel,False,steel,blue,,,2025,False,1,1.0,1.0,automatic,fold clasp,
161,True,4000,False,tudor,False,steel,False,steel,False,steel,False,steel,black,,,1989,True,37,1.0,1.0,automatic,fold clasp,25
162,True,4499,False,tudor,False,steel,False,,False,steel,False,,black,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,,
163,True,2350,False,tudor,False,steel,False,steel,False,steel,False,steel,silver,Glamour Double Date,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,
164,False,4500,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,25
165,False,3490,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay Fifty-Eight,Standard,2020,False,6,0.0,1.0,automatic,fold clasp,25
166,False,4195,False,tudor,False,steel,False,,False,,False,,champagne,Ranger,Standard,2026,False,0,1.0,1.0,,,
167,False,3595,False,tudor,False,steel,False,,False,steel,False,,black,Unknown/Other,Standard,2017,False,9,1.0,1.0,,,
168,True,3900,False,tudor,False,steel,False,,False,textile,False,,black,Black Bay GMT,Standard,2024,False,2,1.0,1.0,automatic,,
169,False,5150,False,tudor,False,steel,False,steel,False,steel,False,,white,Unknown/Other,Standard,2000,False,26,1.0,1.0,automatic,,
170,True,3299,False,tudor,False,carbon,False,titanium,False,textile,False,titanium,blue,Pelagos,Standard,2024,False,2,1.0,1.0,automatic,,25
171,False,4130,False,tudor,False,carbon,False,titanium,False,textile,False,,blue,Pelagos,Standard,2025,False,1,1.0,1.0,automatic,buckle,
